DOMAIN,LOADING_TYPE_DESCRIPTION,EXPLANATION,DETAILS
ladbrokes.com,GTM,Could not browse,Regional Restriction /No access
dnb.com,GTM,Loads Pixel on Accept Cookies,
trimble.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
foxitsoftware.com,GTM,Loads Pixel on Accept Cookies,
snl24.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
lesnumeriques.com,GTM,Loads Pixel on Accept Cookies,
flashscorekz.com,GTM,Loads Pixel on Accept Cookies,
houzz.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
yg5sjx5kzy.com,GTM,Pixel related GTM activates under certain conditions,those are the same website (will make a list)
gist.build,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
myway.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
desjardins.com,GTM,Pixel loads after second action,Pixel loads on interaction with region choice
tchibo.de,GTM,Loads Pixel on Accept Cookies,
softbank.jp,GTM,Does not load on visitation/ Has Pixel configured in GTM,
my-best.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
ipsos.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
free.fr,GTM,Pixel related GTM activates under certain conditions,
bufferapp.com,GTM,Loads Pixel on Accept Cookies,
xataka.com,FBP,Loads Pixel on homepage,
immobiliare.it,GTM,Loads Pixel on Accept Cookies,"Reports the visitation / No initiator, config or fbevents"
siue.edu,GTM,Loads Pixel on homepage,
trip.com,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
rtve.es,GTM,Does not load on visitation/ Has Pixel configured in GTM,
vudu.com,GTM,Pixel related GTM activates under certain conditions,
zalando.fr,GTM,Loads Pixel on Accept Cookies,
pomorska.pl,GTM,Loads Pixel on Accept Cookies,
shopee.com.br,GTM,Loads Pixel on Accept Cookies,
jeuxvideo.com,GTM,Loads Pixel on Accept Cookies,
primor.eu,GTM,Loads Pixel on Accept Cookies,
pearson.com,GTM,Loads Pixel on Accept Cookies,
gloswielkopolski.pl,GTM,Loads Pixel on Accept Cookies,
binance.com,GTM,Loads Pixel on Accept Cookies,Redirects to .us that loads Pixel after cookie accept
elcorteingles.es,GTM,Loads Pixel on Accept Cookies,
shop-apotheke.com,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
quantcast.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
idealo.de,GTM,Loads Pixel on Accept Cookies,
dhnet.be,GTM,Loads Pixel on Accept Cookies,
news24.com,GTM,Pixel loads after second action,Pixel loads on interaction with subscription
ntt.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
meshok.net,GTM,Does not load on visitation/ Has Pixel configured in GTM,
apa.org,GTM,Does not load on visitation/ Has Pixel configured in GTM,
turkishairlines.com,GTM,Loads Pixel on Accept Cookies,
ox.ac.uk,GTM,Loads Pixel on Accept Cookies,
blogs.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
udemy.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
lne.es,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
ifortuna.sk,GTM,Loads Pixel on Accept Cookies,
betnacional.com,GTM,Loads Pixel on Accept Cookies,
stern.de,GTM,Loads Pixel on Accept Cookies,
liberation.fr,GTM,Loads Pixel on Accept Cookies,
lecturas.com,GTM,Loads Pixel on Accept Cookies,
tudogostoso.com.br,GTM,Does not load on visitation/ Has Pixel configured in GTM,
ubisoft.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
progressive.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
gallup.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
ubi.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),its ubisoft.com again
sparkpostmail.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
flashscore.pt,GTM,Loads Pixel on Accept Cookies,
wb.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
chefkoch.de,GTM,Loads Pixel on Accept Cookies,
capital.fr,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),on subscription
jimdo.com,GTM,Loads Pixel on Accept Cookies,
2dehands.be,GTM,Pixel loads after second action,
stripecdn.com,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
zalando.it,GTM,Loads Pixel on Accept Cookies,
alza.cz,GTM,Loads Pixel on Accept Cookies,
sharechat.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
nto.pl,GTM,Loads Pixel on Accept Cookies,
warnerbros.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,same as wb.com
sentry.io,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
nytimes.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
xiaomi.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
meraki.com,['PIXEL_GTM'],Loads Pixel on homepage,
roku.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
who.int,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
slack.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
launchdarkly.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
issuu.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
nature.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
springer.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
mi.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,same as xiaomi.com
checkpoint.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
aliyun.com,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
indiatimes.com,['PIXEL_CORE'],Loads Pixel on homepage,takes time
nypost.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),subscription sub-page
qualtrics.com,['PIXEL_GTM'],Loads Pixel on homepage,
optimizely.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
klaviyo.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
sagepub.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
uber.com,['PIXEL_IN_OTHER_TP'],Pixel loads after second action,
kargo.com,['PIXEL_CORE'],Pixel loads after second action,
pandora.com,['PIXEL_GTM'],Pixel loads after second action,
typeform.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
lefigaro.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
ameblo.jp,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
aniview.com,['PIXEL_CORE'],Does not fire although it exists in the HTML,
mdpi.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
adroll.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
shopeemobile.com,['PIXEL_GTM'],Pixel loads after second action,
caixa.gov.br,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
churnzero.net,['PIXEL_GTM'],Loads Pixel on homepage,takes time
idnes.cz,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
leparisien.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
moneycontrol.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
sportskeeda.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
jetbrains.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
abc.net.au,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
biomedcentral.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
ameba.jp,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
pluto.tv,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
20minutos.es,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
kleinanzeigen.de,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
nintendo.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
afternic.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,
telegraaf.nl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
remove.bg,['PIXEL_CORE'],Pixel loads after second action,
cricbuzz.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
deezer.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
mundodeportivo.com,['PIXEL_CORE'],Pixel loads after second action,
cnnbrasil.com.br,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
indiamart.com,['PIXEL_CORE'],Does not fire although it exists in the HTML,Lightweight not firing
lavanguardia.com,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
ladepeche.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
actu.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
sedo.com,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
mashable.com,['PIXEL_CORE'],Loads Pixel on homepage,
nesine.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
avira.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
evernote.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
emag.ro,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
auone.jp,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
iltalehti.fi,['PIXEL_IN_OTHER_TP'],Pixel loads after second action,subscription sub-page
fanpage.it,['PIXEL_CORE'],Loads Pixel on homepage,
